age,salary,experience,education_level,city_tier,purchased
52,122826,1,0,3,0
18,137232,7,2,1,1
52,149851,0,1,3,0
54,131077,3,2,2,1
31,136519,18,0,1,1
20,70624,4,0,1,1
18,29628,4,1,1,0
22,20329,19,0,1,0
43,58619,18,1,2,0
31,27032,11,2,2,0
56,68094,19,1,2,1
44,58034,0,2,2,0
26,122658,6,0,1,1
32,141123,16,2,2,1
32,142666,1,2,1,0
43,106158,10,2,3,1
59,75264,6,1,2,1
30,114120,16,2,3,1
49,67850,2,1,3,0
56,24722,5,1,2,0
49,37772,10,1,1,0
21,106105,17,0,3,1
47,61679,17,0,2,1
54,88771,9,0,3,1
40,24576,4,1,3,0
56,46707,14,0,2,0
32,119404,19,2,3,1
46,61632,3,1,1,1
53,61476,0,0,1,0
30,137220,14,1,3,1
49,50285,16,0,3,0
24,44154,18,2,2,0
39,40054,13,1,1,0
45,37165,18,0,3,0
19,34439,17,0,1,0
59,138211,1,2,3,0
23,64518,5,2,2,1
45,108051,12,0,2,1
45,46962,16,0,1,0
37,73934,5,1,1,1
47,128085,4,1,3,1
28,57763,6,0,3,0
45,136189,0,2,3,0
42,130290,12,1,1,1
56,84094,18,0,2,1
50,130814,0,2,2,0
18,39464,12,2,1,0
44,62036,10,0,2,1
30,143980,6,0,1,1
58,115949,19,1,3,1
20,53270,2,0,1,0
56,62299,0,1,2,0
23,105805,7,2,1,1
25,51541,16,1,1,0
44,93545,12,0,1,1
26,102543,13,1,1,1
54,111998,4,2,2,1
50,149188,5,2,3,1
59,97078,5,0,2,1
41,102970,7,1,2,1
32,49765,12,0,3,0
49,43769,17,0,2,0
49,108001,3,2,3,1
41,107404,16,1,3,1
58,40156,4,0,1,0
29,105836,2,2,2,0
56,138706,3,0,3,1
19,70481,4,1,2,1
20,33435,13,0,2,0
54,89650,14,1,3,1
34,66336,19,2,1,1
19,56135,16,2,3,0
19,93631,5,0,1,1
45,57909,9,2,3,0
40,89487,15,0,3,1
54,41468,16,0,1,0
49,112609,13,1,1,1
50,67655,19,0,2,1
18,54341,11,1,3,0
36,131663,8,0,2,1
19,84182,14,1,2,1
43,71786,11,2,1,1
49,88304,13,0,1,1
23,123606,17,1,2,1
49,66514,19,0,1,1
21,140938,5,1,3,1
28,53979,3,1,1,0
34,110887,11,0,1,1
55,100981,12,0,3,1
41,75107,18,2,1,1
22,148842,12,2,2,1
51,134119,11,2,2,1
23,21160,19,0,2,0
39,107897,2,2,1,0
28,92577,2,1,1,0
33,104303,13,0,1,1
50,30846,17,1,2,0
26,149861,18,1,1,1
23,124180,9,1,3,1
33,39924,16,0,1,0
46,131193,14,0,2,1
20,33882,18,2,3,0
37,100274,8,2,3,1
53,106555,3,2,2,1
36,21095,14,2,3,0
43,124205,18,1,3,1
20,60983,15,0,3,1
36,131215,7,2,3,1
37,34123,16,1,3,0
49,113668,0,0,1,0
24,86615,6,0,2,1
58,115193,17,0,2,1
50,65278,11,1,1,1
57,117911,15,2,1,1
56,110290,0,0,2,0
35,71999,14,1,2,1
57,51153,6,0,1,0
18,38344,16,1,1,0
28,119777,2,2,3,0
45,57656,10,2,1,0
42,90515,5,0,1,1
40,149515,5,2,3,1
48,21212,14,2,3,0
47,140385,6,1,2,1
59,29001,10,1,2,0
52,98784,16,0,1,1
24,118723,17,1,3,1
33,101144,18,2,3,1
43,56427,7,1,2,0
19,51368,19,2,2,0
18,90819,7,0,1,1
29,81160,10,2,3,1
22,45854,2,1,2,0
54,30715,13,1,1,0
49,101701,8,1,1,1
26,78784,0,1,1,0
58,149193,0,0,2,0
52,119644,11,2,2,1
36,46797,10,1,2,0
33,67573,0,2,2,0
20,96120,19,0,2,1
37,34780,11,2,3,0
41,57905,16,1,3,0
50,41573,14,2,3,0
41,136049,1,1,3,0
28,149651,17,1,1,1
25,53359,15,0,1,0
53,86062,3,0,3,1
55,93391,7,2,2,1
57,63463,1,2,3,0
37,119596,13,1,3,1
52,136342,14,1,1,1
42,115018,8,1,2,1
52,36571,1,1,1,0
42,117276,16,0,2,1
46,148568,9,1,1,1
35,39142,8,0,3,0
35,45104,1,2,2,0
19,28625,18,2,1,0
52,59199,16,0,3,0
33,140725,10,1,1,1
58,35926,16,2,1,0
53,51218,9,0,1,0
50,64472,17,2,3,1
21,111916,5,1,2,1
50,143182,15,0,1,1
31,40566,17,2,3,0
38,76125,19,1,1,1
37,53205,17,0,2,0
25,129084,0,0,1,0
24,49717,2,0,3,0
20,69984,14,0,1,1
34,127292,19,2,1,1
50,45135,9,0,2,0
29,48164,4,0,2,0
39,94489,14,0,2,1
39,58562,13,0,1,0
47,89110,14,0,3,1
55,40169,9,1,1,0
55,79858,8,2,1,1
25,41604,11,1,1,0
44,109670,6,2,1,1
44,134605,4,0,2,1
51,108738,9,2,2,1
38,20684,7,0,2,0
47,148140,19,0,2,1
50,122537,15,1,3,1
45,135265,11,1,1,1
50,131301,8,1,1,1
22,28007,9,2,1,0
36,134915,15,2,3,1
21,120632,9,1,3,1
52,137419,8,1,2,1
34,61787,2,0,1,0
45,69582,18,2,1,1
47,94791,10,0,3,1
46,117798,5,2,1,1
23,103629,5,1,3,1
52,25782,14,2,2,0
58,86770,14,2,3,1
54,77645,12,0,1,1
41,123509,4,1,3,1
46,119724,13,1,3,1
48,51996,1,1,2,0
52,49204,11,0,1,0
50,37152,19,0,1,0
38,75186,13,0,2,1
49,127900,18,2,3,1
40,110555,19,2,3,1
50,105024,14,0,1,1
20,122659,19,0,3,1
35,39689,16,1,2,0
42,70690,13,2,1,1
59,114042,17,2,3,1
48,103251,4,1,2,1
20,77320,11,1,2,1
57,84226,9,1,1,1
41,76091,7,0,1,1
49,126565,5,0,3,1
39,99301,14,0,3,1
40,41942,11,0,3,0
19,58712,5,0,2,0
44,146315,11,2,2,1
59,125430,14,2,3,1
19,85277,11,2,1,1
43,69632,8,1,2,1
34,58031,18,2,2,0
57,40478,1,1,3,0
50,42551,12,2,1,0
26,68068,12,0,2,1
56,113608,7,2,1,1
46,55561,12,0,2,0
59,22892,3,0,1,0
43,119502,5,2,1,1
52,44395,5,2,2,0
42,38756,11,0,1,0
41,136580,11,1,2,1
30,107710,16,1,2,1
24,54651,6,2,1,0
53,140155,14,0,2,1
37,86333,16,1,1,1
18,93745,9,2,2,1
25,126539,19,2,1,1
33,69306,5,0,2,1
31,41346,8,1,2,0
29,133561,14,2,3,1
40,48024,15,1,2,0
32,114950,7,2,2,1
45,138768,15,2,1,1
51,60818,4,1,1,1
19,25947,17,1,1,0
49,95153,19,0,1,1
40,106240,13,0,3,1
39,147192,1,0,3,0
42,146519,2,0,1,0
39,114238,13,1,1,1
39,87428,6,0,1,1
59,49754,14,1,1,0
23,83355,16,2,2,1
32,78241,0,1,1,0
54,88960,8,0,2,1
50,149958,13,1,1,1
25,147420,15,1,3,1
22,127754,12,1,3,1
56,33418,5,1,1,0
21,115422,0,1,3,0
23,120319,3,0,3,1
49,108593,2,1,3,0
47,75184,16,0,3,1
52,24833,1,2,2,0
57,95430,18,1,2,1
33,134246,19,2,2,1
30,61833,7,0,2,1
59,20565,14,1,1,0
47,60180,5,2,3,1
36,38402,19,0,3,0
34,62845,1,2,1,0
36,95851,14,1,1,1
45,32834,19,1,2,0
43,87850,11,1,2,1
54,57180,2,0,3,0
43,23883,9,2,1,0
40,129688,13,0,3,1
26,95587,13,2,1,1
29,126520,2,0,2,0
18,31695,0,1,3,0
18,147135,19,2,3,1
51,43123,0,2,1,0
49,78481,1,2,3,0
42,93438,18,0,2,1
57,131491,9,1,3,1
18,149525,3,2,1,1
33,37573,3,0,3,0
56,141844,12,2,2,1
22,114910,8,1,1,1
39,76494,6,2,1,1
46,32288,15,1,2,0
20,66978,17,0,1,1
29,92420,2,0,1,0
43,137845,19,1,3,1
33,96095,19,1,1,1
54,74672,9,0,3,1
39,81821,15,1,2,1
46,103661,2,1,2,0
31,89224,10,2,2,1
45,109405,9,0,2,1
22,132418,15,0,1,1
47,123673,7,1,1,1
22,74796,8,1,3,1
29,64706,14,1,3,1
33,148554,2,0,3,0
43,143777,3,2,1,1
43,24023,12,0,3,0
38,134286,11,2,1,1
56,102636,8,1,2,1
53,56735,13,0,1,0
50,92959,18,2,2,1
47,59218,6,0,3,0
54,32213,15,2,1,0
40,121519,19,2,3,1
27,142513,4,0,3,1
22,118694,9,1,2,1
53,48460,17,0,3,0
51,144579,10,1,1,1
48,84680,6,2,3,1
27,137725,13,2,2,1
36,51017,19,0,2,0
49,118536,17,0,3,1
18,112038,10,1,2,1
22,50990,11,1,3,0
21,39515,17,0,2,0
33,49991,1,1,3,0
41,27634,0,1,3,0
33,97034,9,0,1,1
19,96452,0,0,1,0
45,49377,5,2,3,0
49,53001,6,2,1,0
44,21391,16,0,1,0
37,85206,8,2,2,1
41,129388,6,1,1,1
29,62215,16,0,2,1
52,99720,2,2,1,0
50,47114,15,0,1,0
50,31882,4,2,3,0
54,133142,19,0,1,1
29,37273,17,1,3,0
20,126206,0,2,3,0
18,65647,3,0,3,1
50,102665,10,1,3,1
57,84892,19,2,1,1
27,62679,8,2,3,1
46,20427,7,0,1,0
30,116952,7,1,1,1
29,149669,4,0,2,1
48,86267,11,2,2,1
19,20799,0,0,2,0
52,75659,14,0,3,1
40,114409,17,1,1,1
34,27025,5,1,1,0
43,34481,9,2,3,0
25,45411,13,1,2,0
46,116894,7,0,2,1
43,125928,2,2,1,0
27,143014,18,1,1,1
43,34961,11,0,1,0
51,41767,11,0,2,0
58,140895,14,2,1,1
24,71690,6,2,2,1
21,72870,3,1,2,1
28,126536,8,1,2,1
46,56135,15,1,3,0
53,84514,12,1,3,1
42,106928,3,2,1,1
38,148705,8,0,2,1
53,98798,17,0,1,1
27,90765,14,1,2,1
54,43772,14,2,1,0
26,38799,5,1,1,0
41,132051,10,1,3,1
52,149941,7,2,3,1
52,43555,16,0,3,0
53,112152,16,0,3,1
35,147219,17,1,2,1
56,39333,3,2,1,0
49,24261,14,0,1,0
41,139833,1,0,2,0
40,89002,1,2,2,0
49,66553,9,2,1,1
54,23088,2,0,3,0
29,65783,7,1,3,1
30,21115,19,1,3,0
40,90114,6,0,2,1
42,88126,11,1,1,1
52,92908,18,1,2,1
58,89109,14,2,1,1
47,22978,13,2,3,0
34,128943,15,2,3,1
37,29422,13,1,3,0
42,63626,2,2,1,0
39,109233,17,2,3,1
30,76174,5,0,1,1
36,116356,16,2,2,1
53,57743,13,0,3,0
29,90461,13,1,2,1
58,77199,19,2,2,1
36,149000,12,0,1,1
29,142778,2,0,2,0
26,49430,12,0,1,0
24,48834,1,1,1,0
45,44435,8,2,2,0
31,107212,12,1,1,1
48,75797,7,0,1,1
36,63554,15,1,1,1
33,74555,2,1,2,0
22,105350,12,0,1,1
52,34716,3,2,3,0
29,80261,17,2,2,1
42,47528,1,1,2,0
38,21995,19,2,1,0
53,42414,14,0,2,0
40,33844,16,2,3,0
33,56659,9,1,2,0
56,35522,0,0,2,0
59,125449,5,0,2,1
56,149632,2,0,1,0
31,94034,18,1,3,1
48,62322,6,1,3,1
22,87638,12,2,3,1
52,121334,12,1,2,1
40,28524,16,0,3,0
46,50846,0,1,1,0
28,93643,13,1,2,1
35,80096,2,2,1,0
29,134930,13,0,2,1
26,103804,0,2,1,0
27,67703,15,2,2,1
34,44399,9,2,1,0
55,95160,12,0,3,1
24,112662,3,2,2,1
30,108667,8,0,2,1
57,143182,13,2,1,1
59,68591,3,2,1,1
26,40714,9,0,1,0
44,126167,7,1,2,1
19,55877,2,2,1,0
22,104106,6,1,3,1
46,98018,9,2,1,1
54,119854,2,1,1,0
55,79136,1,1,1,0
36,53414,14,1,3,0
25,140832,8,1,1,1
18,106576,14,1,1,1
39,98943,16,0,2,1
34,143592,6,1,2,1
24,65468,19,0,1,1
42,118841,17,2,2,1
21,99702,14,0,1,1
53,92108,17,1,1,1
23,118538,11,0,3,1
48,112508,7,1,1,1
36,66835,1,0,2,0
56,83333,1,2,2,0
44,62464,4,1,2,1
27,132454,0,1,2,0
43,42923,3,0,1,0
36,136062,5,0,3,1
56,81855,12,0,3,1
20,87445,18,0,1,1
30,143795,10,0,2,1
45,130454,12,1,3,1
37,141906,7,2,3,1
45,118384,6,0,1,1
25,87619,12,1,2,1
58,66146,0,2,3,0
56,80032,5,2,1,1
18,133521,6,0,3,1
20,136378,15,1,3,1
30,37140,14,1,2,0
45,22670,19,1,2,0
42,56519,1,1,3,0
50,64512,15,1,2,1
55,77811,16,2,3,1
23,123565,14,2,3,1
49,34691,2,2,3,0
38,125156,3,1,1,1
33,54262,11,2,2,0
38,74892,4,2,2,1
28,45595,16,0,3,0
54,77207,5,2,2,1
53,148590,9,0,3,1
52,135589,17,1,2,1
36,53440,9,1,2,0
37,28630,5,1,3,0
35,51250,5,1,2,0
58,114334,19,2,3,1
31,149228,14,0,1,1
32,128572,3,1,3,1
48,118748,15,1,2,1
18,127461,7,0,1,1
20,97518,6,0,1,1
33,94191,18,0,3,1
40,84791,16,0,1,1
28,104118,12,0,3,1
29,120591,14,2,2,1
27,83753,1,0,3,0
49,130261,9,2,1,1
33,80520,12,0,3,1
25,24008,17,0,3,0
55,64464,10,1,2,1
29,127408,12,1,3,1
41,20496,18,1,2,0
45,119767,4,1,1,1
25,148747,2,1,1,0
45,43212,18,1,3,0
53,40637,12,0,3,0
43,65227,4,0,1,1
25,102413,11,1,1,1
45,139753,13,1,1,1
45,140118,5,1,3,1
54,103346,8,0,1,1
58,29884,16,1,3,0
53,136481,7,1,1,1
44,88259,12,0,1,1
34,69810,4,0,3,1
26,149926,16,2,2,1
50,24761,2,1,3,0
37,93166,5,0,2,1
30,147342,13,2,3,1
45,36375,14,0,2,0
46,127045,13,2,2,1
30,45218,10,2,2,0
52,50565,10,1,3,0
23,122654,8,1,3,1
35,52975,5,2,3,0
22,47073,14,1,2,0
42,89726,11,0,2,1
19,21883,5,0,3,0
27,88422,0,2,3,0
47,69629,15,2,1,1
22,84170,19,0,1,1
50,94489,14,0,1,1
18,28381,1,2,1,0
35,43238,16,0,1,0
49,33795,2,0,3,0
28,115964,2,2,2,0
38,82999,4,1,2,1
43,69907,16,0,3,1
42,29638,16,1,3,0
39,90467,19,1,3,1
44,62623,5,0,1,1
30,58492,0,1,1,0
50,46411,6,2,1,0
51,130724,14,0,3,1
58,40534,6,0,3,0
52,122364,18,1,2,1
18,49181,19,0,3,0
38,123069,10,0,1,1
23,39996,13,1,2,0
45,92089,12,1,3,1
34,125682,19,0,2,1
22,103609,8,0,2,1
48,136004,8,2,3,1
22,92666,15,2,1,1
55,49405,11,0,1,0
20,121490,9,0,2,1
40,146900,5,2,3,1
54,91325,17,1,3,1
54,48930,1,0,1,0
27,134426,19,2,3,1
27,37529,8,2,3,0
36,73546,18,0,2,1
34,27942,5,0,3,0
38,27548,1,2,3,0
31,135248,14,0,3,1
26,38296,16,1,1,0
18,71016,15,0,1,1
30,117780,7,2,2,1
21,20296,9,2,1,0
18,87945,9,0,1,1
57,79980,17,2,1,1
49,76782,9,1,1,1
51,54229,8,0,2,0
45,116382,18,0,3,1
48,73444,0,2,3,0
25,55036,3,1,3,0
56,135682,2,0,2,0
43,149114,9,2,1,1
51,59322,11,0,2,0
20,134695,17,1,2,1
29,47167,19,2,2,0
18,71667,5,0,3,1
22,114527,1,2,1,0
47,103337,9,2,3,1
47,71468,1,1,2,0
34,92894,8,1,2,1
40,73084,9,0,3,1
32,83138,1,2,3,0
54,42588,7,2,3,0
38,82901,16,2,1,1
31,37671,16,0,3,0
19,145724,3,1,1,1
28,103038,17,1,1,1
56,110664,11,2,3,1
55,51645,16,0,2,0
51,27637,8,2,2,0
55,20660,18,1,1,0
51,127211,13,2,1,1
35,26922,13,2,1,0
47,113697,16,2,2,1
32,64721,1,1,1,0
44,77256,7,0,1,1
51,141025,4,2,2,1
55,137217,6,1,3,1
50,89506,15,2,2,1
41,88943,15,0,3,1
32,144338,16,2,3,1
47,47843,6,0,1,0
59,29046,19,1,1,0
34,109336,7,0,3,1
22,83985,7,0,1,1
46,100083,10,1,3,1
21,123064,14,0,1,1
27,116925,17,0,2,1
34,146417,5,1,3,1
27,136585,11,0,3,1
34,50346,14,0,1,0
37,108284,5,2,2,1
41,143152,17,0,1,1
22,131769,19,0,2,1
51,122391,8,0,1,1
23,111384,7,1,3,1
19,73526,13,0,2,1
30,93143,18,1,2,1
28,56787,18,1,1,0
40,53583,7,0,2,0
33,32563,1,0,1,0
48,66060,3,0,2,1
28,149537,5,0,1,1
33,141943,2,0,1,0
25,134462,2,0,1,0
21,53690,18,0,3,0
57,131233,10,1,2,1
21,114712,9,2,3,1
42,34925,11,1,3,0
20,106787,13,0,3,1
49,103184,17,2,3,1
20,40108,8,2,2,0
44,96515,14,0,2,1
46,88258,2,0,3,0
49,25355,10,1,2,0
36,66069,9,2,2,1
38,114335,17,2,1,1
22,120854,3,0,2,1
35,74471,12,0,3,1
45,52705,5,2,2,0
59,63909,12,2,3,1
39,108606,19,0,2,1
38,148501,4,0,3,1
23,136361,19,0,2,1
18,73739,13,1,2,1
22,96820,12,1,2,1
58,107273,13,0,3,1
29,43241,7,1,1,0
43,47414,15,2,3,0
51,70818,12,2,2,1
31,40895,14,0,3,0
43,112307,18,2,2,1
44,82409,0,2,2,0
26,75324,1,2,1,0
43,86920,17,2,2,1
39,73555,18,2,2,1
47,138642,7,1,2,1
34,85453,2,1,1,0
43,42689,13,0,3,0
53,84356,8,2,1,1
18,113011,7,1,3,1
25,28252,16,1,2,0
52,50844,15,1,3,0
32,115687,9,2,3,1
39,125542,9,1,3,1
31,43365,5,0,3,0
43,26026,16,0,2,0
45,118303,15,2,1,1
40,48523,14,0,3,0
31,141297,13,1,2,1
41,30482,3,2,2,0
19,132105,3,0,2,1
43,68888,1,2,2,0
31,133884,10,1,3,1
24,126968,3,0,1,1
20,70110,15,1,2,1
40,110644,3,0,1,1
35,20493,0,2,1,0
55,76194,18,0,1,1
52,102001,1,0,2,0
32,59767,8,0,2,0
42,49550,12,2,2,0
54,33833,17,0,1,0
45,22970,15,1,2,0
27,118315,15,2,2,1
56,115494,9,2,1,1
34,142512,8,1,2,1
56,147424,10,2,3,1
39,133855,3,0,3,1
43,102681,9,2,3,1
42,121489,2,1,3,0
34,69177,5,2,1,1
30,87342,2,1,2,0
37,141339,8,2,3,1
42,91200,2,1,3,0
21,81501,17,2,2,1
27,48900,7,0,1,0
20,34126,7,1,3,0
58,131198,14,1,2,1
35,90690,12,2,2,1
53,107744,6,2,3,1
39,99303,18,2,3,1
51,105579,7,0,2,1
25,67994,9,2,2,1
57,87061,16,1,3,1
36,119064,0,2,3,0
59,36978,12,0,3,0
58,76344,12,2,3,1
54,66648,15,2,1,1
23,21055,8,1,2,0
43,95582,9,2,3,1
51,121387,5,0,2,1
23,101214,4,2,3,1
54,64876,1,2,1,0
50,138363,10,1,2,1
39,112160,8,2,1,1
38,127954,5,1,2,1
23,58725,7,1,1,0
23,25255,8,2,3,0
21,94947,8,1,3,1
47,73380,7,1,1,1
28,134648,11,2,3,1
47,73333,7,2,1,1
48,62459,2,0,1,0
41,136518,12,0,2,1
26,56163,18,1,1,0
20,53971,1,1,2,0
48,116771,16,2,1,1
57,85149,15,0,2,1
54,147150,3,0,2,1
53,104730,17,2,3,1
41,39476,13,2,2,0
48,88580,1,2,2,0
23,140759,12,2,1,1
19,125576,19,0,2,1
37,106593,16,2,3,1
45,89050,14,2,1,1
28,95526,19,0,2,1
21,124496,4,2,1,1
32,129071,6,0,1,1
23,134832,17,0,1,1
47,27507,10,2,1,0
55,90393,17,2,1,1
19,32118,4,1,2,0
32,70529,12,1,1,1
28,88682,17,0,1,1
25,111937,1,0,3,0
43,74176,19,1,3,1
22,135481,3,0,1,1
23,111713,12,1,2,1
43,124060,15,2,3,1
21,24414,5,2,3,0
36,103030,7,2,1,1
37,140360,15,0,2,1
50,105973,12,2,2,1
37,82137,3,0,3,1
29,23937,1,2,3,0
18,56731,8,0,3,0
43,106862,17,0,3,1
31,58665,16,1,3,0
55,94510,7,1,1,1
54,132681,14,1,1,1
28,37500,8,0,1,0
53,134360,16,1,3,1
30,21750,1,1,1,0
20,85018,5,1,3,1
50,145456,4,0,2,1
23,24027,16,0,2,0
27,129832,1,1,1,0
22,25745,17,1,2,0
40,81731,9,0,2,1
27,106984,9,0,2,1
19,127983,5,1,1,1
30,48451,11,1,2,0
57,113743,16,1,1,1
19,91474,12,0,3,1
37,81536,19,1,3,1
18,32150,15,0,1,0
54,33406,9,2,1,0
26,39781,1,1,2,0
34,77417,1,2,3,0
26,136047,6,0,2,1
28,143971,5,2,3,1
32,123157,0,1,2,0
41,38325,11,2,2,0
55,88684,12,2,3,1
52,114415,11,2,2,1
47,134547,18,0,3,1
48,93469,8,1,1,1
22,29436,9,0,2,0
31,37669,16,2,3,0
28,147385,17,2,3,1
26,92010,7,0,2,1
51,132983,6,0,3,1
29,96764,8,2,2,1
52,119074,9,1,2,1
52,21843,11,0,1,0
18,85609,14,2,1,1
57,70812,14,2,1,1
39,36059,3,1,2,0
46,106269,3,2,2,1
25,141790,0,0,3,0
28,60768,11,2,1,1
58,45395,1,2,1,0
54,40202,14,2,3,0
31,33273,16,2,1,0
47,68889,6,1,1,1
52,118635,5,0,1,1
38,136109,11,2,3,1
54,93048,18,0,1,1
22,113767,0,1,2,0
36,108810,13,0,1,1
31,123235,3,1,2,1
43,144571,4,0,1,1
21,65510,0,0,2,0
42,107945,0,2,1,0
59,131730,5,0,2,1
42,139096,4,2,2,1
35,90649,1,2,1,0
57,126723,4,0,3,1
25,22881,8,2,1,0
56,65913,18,0,3,1
57,131860,14,2,3,1
31,104785,12,2,3,1
49,85037,11,1,3,1
55,82457,4,1,3,1
50,55343,1,0,3,0
40,82389,3,2,1,1
32,98250,17,1,2,1
50,124489,9,1,2,1
42,28656,12,1,1,0
34,25741,11,2,1,0
50,36661,1,0,1,0
19,117091,14,2,3,1
31,48690,13,2,3,0
57,52833,9,1,2,0
57,122566,7,2,1,1
56,91240,14,2,2,1
23,133659,12,1,2,1
23,126898,7,1,3,1
20,97711,13,2,3,1
24,77141,0,1,2,0
25,98232,12,0,3,1
59,59023,7,0,3,0
32,60209,17,0,3,1
46,113590,8,0,2,1
50,146324,12,0,2,1
47,106612,2,1,2,0
56,100522,17,1,1,1
44,131654,9,0,2,1
53,34440,4,0,3,0
46,139107,5,0,2,1
55,27960,7,1,1,0
50,42462,6,1,3,0
54,145919,17,2,2,1
44,37821,13,2,2,0
50,77772,14,2,3,1
21,47258,9,2,2,0
39,112889,11,1,1,1
19,108952,6,1,3,1
27,82524,6,1,2,1
22,42115,10,1,3,0
27,138066,12,0,2,1
50,66433,14,2,2,1
55,110504,17,1,3,1
30,108267,6,1,2,1
48,108321,5,2,2,1
53,124933,10,1,3,1
41,99364,7,0,2,1
32,90077,19,1,2,1
46,60644,0,2,3,0
25,82643,7,0,1,1
22,33311,7,0,1,0
46,143221,18,2,1,1
21,143012,2,2,1,0
29,149466,4,0,1,1
19,50531,2,1,1,0
44,34588,14,2,3,0
48,69416,13,0,3,1
53,32380,14,2,3,0
53,62645,16,1,2,1
43,37818,17,1,1,0
44,50857,1,0,1,0
22,41711,11,1,3,0
37,25097,15,1,2,0
28,136348,3,1,2,1
27,48393,1,2,3,0
57,42076,13,0,1,0
55,104274,10,0,2,1
23,77609,12,0,1,1
25,49317,6,1,2,0
40,124765,9,2,1,1
43,78480,0,0,2,0
29,27044,3,2,1,0
43,91033,17,0,1,1
30,139237,5,1,1,1
57,75486,1,0,3,0
35,75162,2,0,1,0
42,99287,13,1,1,1
50,49882,7,1,2,0
57,74078,15,0,2,1
29,78734,18,2,3,1
53,127608,17,1,2,1
21,128730,5,0,1,1
22,63826,13,1,3,1
54,107985,2,2,3,0
25,64028,15,0,3,1
59,71331,0,0,1,0
45,139655,11,2,1,1
48,118938,13,2,2,1
26,138319,18,0,2,1
46,52543,18,2,2,0
31,144279,8,2,3,1
57,49362,6,0,1,0
58,47315,13,1,2,0
39,47746,4,2,1,0
28,30057,17,1,3,0
40,131649,8,1,1,1
18,62915,6,1,1,1
54,41061,8,2,3,0
38,71370,3,0,2,1
43,54157,16,0,1,0
53,131375,11,0,1,1
40,31322,5,0,3,0
18,89812,17,0,1,1
57,97842,7,0,1,1
32,54017,14,1,1,0
38,76792,2,1,3,0
26,47742,1,1,1,0
26,117136,8,2,3,1
27,84808,7,2,2,1
43,140400,3,2,1,1
58,149198,1,0,3,0
52,37629,13,1,3,0
42,148614,1,2,1,0
43,28245,1,1,3,0
28,116950,6,0,2,1
55,63870,11,1,2,1
19,115634,5,0,2,1
24,84829,17,2,2,1
35,134530,3,0,3,1
44,30588,18,0,3,0
51,20442,12,1,2,0
44,125280,19,0,2,1
34,122979,1,2,2,0
41,97339,7,2,2,1
